DANC 100,3.0,,"[False, False, False, False]",
DANC 102,3.0,,"[True, True, True, True]",
DANC 104,2.0,,"[True, True, True, True]",
DANC 105,2.0,,"[True, False, True, True]",
DANC 106,2.0,,"[True, False, True, True]",
DANC 107,2.0,,"[True, True, True, True]",
DANC 108,2.0,,"[True, False, False, False]",
DANC 109,2.0,,"[False, False, True, True]",
DANC 115,3.0,,"[False, False, True, False]",
DANC 116,3.0,,"[False, False, True, False]",
DANC 117,3.0,,"[False, True, False, False]",
DANC 131,1.0,,"[True, True, True, True]",
DANC 132,1.0,,"[True, True, True, False]",
DANC 133,1.0,,"[True, True, True, False]",
DANC 135,3.0,,"[False, False, True, False]",
DANC 204,2.0," DANC 104 [Min Grade: D] or DANC 140 [Min Grade: D]
","[True, True, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83601F30>>
DANC 205,2.0," DANC 105 [Min Grade: D] or DANC 150 [Min Grade: D]
","[True, True, False, True]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83602080>>
DANC 206,2.0," DANC 106 [Min Grade: D] or DANC 160 [Min Grade: D]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C836021D0>>
DANC 207,2.0," DANC 107 [Min Grade: D] or DANC 170 [Min Grade: D]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83602320>>
DANC 208,2.0," DANC 108 [Min Grade: D] or DANC 180 [Min Grade: D]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83602470>>
DANC 209,2.0," DANC 109 [Min Grade: D] or DANC 190 [Min Grade: D]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C836025C0>>
DANC 215,3.0,,"[False, False, True, False]",
DANC 216,3.0,,"[True, False, False, False]",
DANC 221,3.0,,"[False, True, False, False]",
DANC 222,3.0,,"[False, True, False, False]",
DANC 225,2.0,,"[False, False, False, False]",
DANC 235,3.0,,"[False, True, False, False]",
DANC 260,3.0,,"[False, False, False, False]",
DANC 304,2.0," DANC 204 [Min Grade: D] or DANC 141 [Min Grade: D]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83602DA0>>
DANC 305,2.0," DANC 205 [Min Grade: D] or DANC 151 [Min Grade: D]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83602EF0>>
DANC 306,2.0," DANC 206 [Min Grade: D] or DANC 161 [Min Grade: D]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83603040>>
DANC 315,3.0,,"[False, False, True, False]",
DANC 316,3.0,,"[False, False, True, False]",
